Year-month,hydro_apb2,hydro_apb3,hydro_apb4
202501,708.229224,235.59504,55.6546224
202502,639.690912,212.79552,56.0689248
202503,865.613496,235.59504,81.3413712
202504,837.69048,227.9952,74.574432
202505,598.0602336,235.59504,59.9357472
202506,456.92208,227.9952,47.644776
202507,409.1991072,235.59504,40.6706856
202508,377.7222528,235.59504,36.3895608
202509,350.306928,227.9952,35.215704
202510,393.46068,235.59504,44.9518104
202511,472.152816,227.9952,49.716288
202512,613.7986608,235.59504,66.3574344
